Brutality,['florida death metal']
"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne","['dance pop', 'pop rap']"
Ramallah,"['boston hardcore', 'hardcore']"
Tipling Rock,['boston indie']
Chris Brown Featuring Usher & Rick Ross,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
Emperor,"['black metal', 'metal', 'norwegian black metal', 'norwegian metal', 'symphonic black metal', 'symphonic metal', 'technical black metal', 'viking metal']"
Teni,"['afropop', 'azontobeats', 'nigerian pop']"
Willie Thrasher,['canadian indigenous']
Ciara Featuring Ludacris,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']"
Russell Dickerson,"['contemporary country', 'country', 'country road', 'modern country rock']"
Patti Smith,"['art punk', 'art rock', 'folk rock', 'permanent wave', 'protopunk', 'rock']"
Bazzi,"['dance pop', 'electropop', 'pop']"
Zedd & Alessia Cara,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']"
Kelsea Ballerini,"['contemporary country', 'country', 'pop']"
Splatinum,['glitch hop']
Tunes of Negation,['uk experimental electronic']
The Rival Mob,"['boston hardcore', 'boston punk', 'hardcore', 'metallic hardcore', 'straight edge']"
Steve Jablonsky,"['epicore', 'scorecore', 'soundtrack', 'video game music']"
Kim English,"['classic house', 'deep house', 'disco house', 'diva house', 'garage house', 'soulful house', 'tribal house', 'vocal house']"
Rövballebandet,['danspunk']
Ant Saunders,"['chill r&b', 'pop']"
K. Michelle,"['dance pop', 'hip pop', 'neo soul', 'pop r&b', 'r&b', 'urban contemporary']"
Idealism,"['chillhop', 'lo-fi beats']"
Heavy Metal Perse,"['finnish heavy metal', 'finnish metal', 'finnish power metal']"
Blindside,"['christian alternative rock', 'christian hardcore', 'christian metal', 'christian punk', 'christian rock', 'swedish alternative rock']"
Piero Piccioni,"['classic soundtrack', 'vintage italian soundtrack']"
Kenny Chesney,"['contemporary country', 'country', 'country road']"
Meek Mill Featuring Drake,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Lance Allen,"['chill guitar', 'classify', 'fingerstyle']"
Hypocrisy,"['black metal', 'death metal', 'finnish metal', 'melodic death metal', 'metal', 'swedish death metal', 'swedish melodeath', 'swedish metal']"
Born Of Osiris,"['deathcore', 'djent', 'melodic deathcore', 'melodic metalcore', 'metalcore', 'progressive metalcore', 'symphonic deathcore']"
Dr Zeus,"['bhangra', 'desi hip hop', 'desi pop', 'punjabi hip hop', 'punjabi pop']"
The Palace Guards,['deep classic garage rock']
